ID,Event,Density,Species,Particle_type,Experiment
A1,222,24666666.67,S. costatum,Aggregate,SKA3
A2,212,23555555.56,S. costatum,Aggregate,SKA3
A3,195,21666666.67,S. costatum,Aggregate,SKA3
A4,180,20000000,S. costatum,Aggregate,SKA3
A5,201,22333333.33,S. costatum,Aggregate,SKA3
B1,168,18666666.67,G. huxleyi,Aggregate,GHA3
B2,163,18111111.11,G. huxleyi,Aggregate,GHA3
B3,169,18777777.78,G. huxleyi,Aggregate,GHA3
B4,170,18888888.89,G. huxleyi,Aggregate,GHA3
B5,131,14555555.56,G. huxleyi,Aggregate,GHA3
C1,112,12444444.44,G. huxleyi,Faecal pellet,GHFP4
C2,156,17333333.33,G. huxleyi,Faecal pellet,GHFP4
C3,178,19777777.78,G. huxleyi,Faecal pellet,GHFP4
C4,99,11000000,G. huxleyi,Faecal pellet,GHFP4
C5,134,14888888.89,G. huxleyi,Faecal pellet,GHFP4
D1,122,13555555.56,S. costatum,Faecal pellet,SKFP2
D2,98,10888888.89,S. costatum,Faecal pellet,SKFP2
D3,153,17000000,S. costatum,Faecal pellet,SKFP2
D4,82,9111111.111,S. costatum,Faecal pellet,SKFP2
D5,104,11555555.56,S. costatum,Faecal pellet,SKFP2
E1,86,9555555.556,S. costatum,Faecal pellet,SKFP3
E2,84,9333333.333,S. costatum,Faecal pellet,SKFP3
E3,73,8111111.111,S. costatum,Faecal pellet,SKFP3
E4,98,10888888.89,S. costatum,Faecal pellet,SKFP3
E5,62,6888888.889,S. costatum,Faecal pellet,SKFP3
