Sample,Timepoint,Oxygen,Time_hr,Temperature
MQ,2,183.6,2,10.054
MQ,4,182.3,4,10.481
MQ,24,186.1,24,8.831
MQ,26,187,26,10.758
MQ,28,181.3,28,11.457
MQ,30,185.3,30,10.382
MQ,48,182.6,48,8.242
Gh1,2,185.5,2,10.081
Gh1,4,180.2,4,10.441
Gh1,24,172.8,24,8.839
Gh1,26,175.5,26,10.72
Gh1,28,166.1,28,11.445
Gh1,30,167.5,30,10.375
Gh1,48,151.8,48,8.868
Gh2,2,178.2,2,10.775
Gh2,4,182.8,4,10.46
Gh2,24,174.9,24,9.077
Gh2,26,175.5,26,10.74
Gh2,28,167.2,28,11.423
Gh2,30,169.7,30,10.358
Gh2,48,150.5,48,9.824
Gh3,2,182,2,11.019
Gh3,4,182.9,4,10.895
Gh3,24,167.9,24,10.196
Gh3,26,170,26,11.32
Gh3,28,169.5,28,11.406
Gh3,30,168.4,30,10.334
Gh3,48,139.4,48,11.74
Gh4,2,179,2,11.147
Gh4,4,176.6,4,11.642
Gh4,24,166.1,24,11.063
Gh4,26,164,26,12.509
Gh4,28,170.5,28,11.379
Gh4,30,171.3,30,10.333
Gh4,48,139.9,48,12.986
Gh5,2,185.2,2,11.175
Gh5,4,180.4,4,11.461
Gh5,24,166,24,11.332
Gh5,26,164.4,26,13.09
Gh5,28,173,28,11.343
Gh5,30,172.4,30,10.335
Gh5,48,145.1,48,13.333
