Sample,Timepoint,Oxygen,Time_hr
MQ,0,193.371,0
MQ,2,197.648,2
MQ,4,197.073,4
MQ,6,196.671,6
MQ,24,197.657,24
MQ,28,193.983,26
MQ,30,197.513,30
MQ,46,200.069,46
MQ,48,200.263,48
GH1,0,208.489,0
GH1,2,207.465,2
GH1,4,211.067,4
GH1,6,205.066,6
GH1,24,191.603,24
GH1,28,187.546,28
GH1,30,187.182,30
GH1,46,167.181,46
GH1,48,161.514,48
GH2,0,205.631,0
GH2,2,205.149,2
GH2,4,207.489,4
GH2,6,203.76,6
GH2,24,189.69,24
GH2,28,187.516,28
GH2,30,182.835,30
GH2,46,146.098,46
GH2,48,144.688,48
GH3,0,206.796,0
GH3,2,205.686,2
GH3,4,208.124,4
GH3,6,205.64,6
GH3,24,195.413,24
GH3,28,190.421,28
GH3,30,190.159,30
GH3,46,166.276,46
GH3,48,157.719,48
GH4,0,207.516,0
GH4,2,206.643,2
GH4,4,208.241,4
GH4,6,204.633,6
GH4,24,191.198,24
GH4,28,185.513,28
GH4,30,183.61,30
GH4,46,145.85,46
GH4,48,141.983,48
GH5,0,209.707,0
GH5,2,208.814,2
GH5,4,208.899,4
GH5,6,207.822,6
GH5,24,196.735,24
GH5,28,192.281,28
GH5,30,188.835,30
GH5,46,163.002,46
GH5,48,159.976,48
