Sample,Timepoint,Oxygen,Time_hr,Temperature
MQ,0,187.6,0,15.389
MQ,2,192.1,2,15.079
MQ,20,186.0,20,17.017
MQ,22,185.4,22,16.074
MQ,24,186.1,24,15.413
MQ,26,185.8,26,15.028
MQ,44,153.1,44,16.645
MQ,46,152.1,46,15.690
MQ,48,154.3,48,15.616
FP1,0,216.2,0,15.526
FP1,2,217.7,2,15.097
FP1,20,206.8,20,17.017
FP1,22,209.1,22,16.008
FP1,24,207.8,24,15.407
FP1,26,206.2,26,15.015
FP1,44,187.1,44,16.657
FP1,46,185.3,46,15.683
FP1,48,185.0,48,14.979
FP2,0,209.9,0,15.516
FP2,2,211.4,2,15.124
FP2,20,205.1,20,16.975
FP2,22,201.9,22,15.998
FP2,24,200.8,24,15.413
FP2,26,198.3,26,15.004
FP2,44,215.9,44,16.644
FP2,46,186.5,46,15.669
FP2,48,186.1,48,15.020
FP3,0,214.1,0,15.517
FP3,2,215.5,2,15.121
FP3,20,207.2,20,16.983
FP3,22,208.0,22,15.956
FP3,24,214.6,24,15.411
FP3,26,206.5,26,15.041
FP3,44,189.3,44,16.614
FP3,46,187.1,46,15.662
FP3,48,181.9,48,15.022
FP4,0,211.3,0,15.528
FP4,2,212.1,2,15.124
FP4,20,199.3,20,17.044
FP4,22,198.6,22,15.939
FP4,24,200.7,24,15.416
FP4,26,194.7,26,15.043
FP4,44,169.8,44,16.594
FP4,46,160.6,46,15.648
FP4,48,152.5,48,15.028
FP5,0,215.2,0,15.503
FP5,2,216.4,2,15.119
FP5,20,204.8,20,17.024
FP5,22,204.6,22,15.966
FP5,24,204.6,24,15.417
FP5,26,200.6,26,15.051
FP5,44,177.0,44,16.600
FP5,46,176.5,46,15.618
FP5,48,167.8,48,15.015
