Sample,Timepoint,Oxygen,Time_hr
MQ,2,155.795,2
MQ,18,155.844,18
MQ,20,156.48,20
MQ,22,156.647,22
MQ,24,156.815,24
MQ,42,156.693,42
MQ,44,158.349,44
MQ,46,160.904,46
MQ,48,160.508,48
FP1,2,240.364,2
FP1,18,239.046,18
FP1,20,234.933,20
FP1,22,236.137,22
FP1,24,234.921,24
FP1,42,232.843,42
FP1,44,231.036,44
FP1,46,236.991,46
FP1,48,231.91,48
FP2,2,249.093,2
FP2,18,248.747,18
FP2,20,243.547,20
FP2,22,243.075,22
FP2,24,245.154,24
FP2,42,244.88,42
FP2,44,241.077,44
FP2,46,248.485,46
FP2,48,244.101,48
FP3,2,245.792,2
FP3,18,237.279,18
FP3,20,238.865,20
FP3,22,239.802,22
FP3,24,239.574,24
FP3,42,236.318,42
FP3,44,236.343,44
FP3,46,245.997,46
FP3,48,241.852,48
FP4,2,232.428,2
FP4,18,223.638,18
FP4,20,226.063,20
FP4,22,232.621,22
FP4,24,229.335,24
FP4,42,222.275,42
FP4,44,226.376,44
FP4,46,236.323,46
FP4,48,231.242,48
FP5,2,241.848,2
FP5,18,234.263,18
FP5,20,232.091,20
FP5,22,230.982,22
FP5,24,232.134,24
FP5,42,232.856,42
FP5,44,222.023,44
FP5,46,226.125,46
FP5,48,233.304,48
