Sample,Timepoint,Oxygen,Time_hr,Temperature
MQ,2,163,2,15.482
MQ,4,165.5,4,15.591
MQ,22,169.2,22,15.53
MQ,24,166.7,24,15.602
MQ,26,168.2,26,15.501
MQ,48,172.7,48,15.634
SK1,2,241.5,2,15.439
SK1,4,246.3,4,15.599
SK1,22,246.8,22,15.519
SK1,24,241.7,24,15.628
SK1,26,244.1,26,15.481
SK1,48,239.4,48,15.669
SK2,2,231.5,2,15.479
SK2,4,236.2,4,15.551
SK2,22,235.9,22,15.509
SK2,24,230.9,24,15.626
SK2,26,231.2,26,15.44
SK2,48,230.8,48,15.653
SK3,2,238.6,2,15.469
SK3,4,239.3,4,15.602
SK3,22,240.4,22,15.515
SK3,24,233.8,24,15.604
SK3,26,234.3,26,15.406
SK3,48,234.9,48,15.645
SK4,2,238.4,2,15.485
SK4,4,239.8,4,15.455
SK4,22,240.1,22,15.482
SK4,24,235.9,24,15.58
SK4,26,235.6,26,15.37
SK4,48,232.8,48,15.627
SK5,2,240.4,2,15.482
SK5,4,238.9,4,15.434
SK5,22,236.9,22,15.507
SK5,24,231,24,15.551
SK5,26,229.8,26,15.419
SK5,48,226.5,48,15.603
