Sample,Timepoint,Oxygen,Time_hr
MQ,0,193.371,0
MQ,2,197.648,2
MQ,4,197.073,4
MQ,6,196.671,6
MQ,24,197.657,24
MQ,28,193.983,28
MQ,30,197.513,30
MQ,46,200.069,46
MQ,48,200.263,48
SK1,0,212.341,0
SK1,2,215.207,2
SK1,4,213.939,4
SK1,6,211.724,6
SK1,24,199.919,24
SK1,28,194.956,28
SK1,30,194.417,30
SK1,46,184.001,46
SK1,48,182.368,48
SK2,0,206.567,0
SK2,2,209.66,2
SK2,4,206.428,4
SK2,6,204.481,6
SK2,24,197.099,24
SK2,28,192.756,28
SK2,30,193.449,30
SK2,46,179.145,46
SK2,48,179.86,48
SK3,0,213.097,0
SK3,2,215.62,2
SK3,4,215.495,4
SK3,6,211.098,6
SK3,24,202.31,24
SK3,28,194.314,28
SK3,30,193.684,30
SK3,46,153.4,46
SK3,48,155.976,48
SK4,0,212.09,0
SK4,2,213.603,2
SK4,4,213.767,4
SK4,6,210.675,6
SK4,24,201.468,24
SK4,28,195.517,28
SK4,30,195.128,30
SK4,46,151.751,46
SK4,48,148.707,48
SK5,0,211.037,0
SK5,2,214.215,2
SK5,4,214.201,4
SK5,6,210.853,6
SK5,24,200.27,24
SK5,28,197.445,28
SK5,30,199.543,30
SK5,46,183.787,46
SK5,48,178.725,48
