Sample,Timepoint,Oxygen,Time_hr
MQ,0,195.504,0
MQ,2,184.26,2
MQ,4,186.233,4
MQ,22,182.167,22
MQ,24,183.758,24
MQ,26,179.688,26
MQ,28,183.202,28
MQ,44,182.618,44
MQ,48,180.572,48
FP1,0,235.551,0
FP1,2,230.047,2
FP1,4,229.307,4
FP1,22,219.108,22
FP1,24,218.007,24
FP1,26,213.665,26
FP1,28,216.759,28
FP1,44,194.084,44
FP1,48,195.215,48
FP2,0,231.816,0
FP2,2,228.677,2
FP2,4,228.058,4
FP2,22,218.6,22
FP2,24,213.511,24
FP2,26,210.723,26
FP2,28,210.393,28
FP2,44,187.591,44
FP2,48,187.017,48
FP3,0,232.738,0
FP3,2,227.987,2
FP3,4,228.241,4
FP3,22,222.437,22
FP3,24,215.487,24
FP3,26,212.581,26
FP3,28,214.27,28
FP3,44,198.697,44
FP3,48,197.282,48
FP4,0,235.098,0
FP4,2,231.358,2
FP4,4,227.82,4
FP4,22,216.348,22
FP4,24,211.141,24
FP4,26,207.822,26
FP4,28,207.438,28
FP4,44,191.987,44
FP4,48,188.009,48
FP5,0,226.385,0
FP5,2,222.476,2
FP5,4,225.112,4
FP5,22,211.851,22
FP5,24,210.541,24
FP5,26,207.874,26
FP5,28,210.518,28
FP5,44,195.407,44
FP5,48,196.297,48
