Sample,Timepoint,Oxygen,Time_hr
MQ,0,159.8,0
MQ,20,157.1,20
MQ,22,154.6,22
MQ,24,154.8,24
MQ,26,155.1,26
MQ,42,155.3,42
MQ,44,154.3,44
MQ,46,153.1,46
MQ,48,153.9,48
FP1,0,224.9,0
FP1,20,214.5,20
FP1,22,212.4,22
FP1,24,209.2,24
FP1,26,209.3,26
FP1,42,208.3,42
FP1,44,208.8,44
FP1,46,207.4,46
FP1,48,210.2,48
FP2,0,228.1,0
FP2,20,224.1,20
FP2,22,205.5,22
FP2,24,213.3,24
FP2,26,213.7,26
FP2,42,210.8,42
FP2,44,209.4,44
FP2,46,205.3,46
FP2,48,210.3,48
FP3,0,221.8,0
FP3,20,215.1,20
FP3,22,196.9,22
FP3,24,208.1,24
FP3,26,205.7,26
FP3,42,203.6,42
FP3,44,200.8,44
FP3,46,196.4,46
FP3,48,201.1,48
FP4,0,225.7,0
FP4,20,220.1,20
FP4,22,202.3,22
FP4,24,206.5,24
FP4,26,204.2,26
FP4,42,197.4,42
FP4,44,197.8,44
FP4,46,190.9,46
FP4,48,195.7,48
FP5,0,225.0,0
FP5,20,219.3,20
FP5,22,208.0,22
FP5,24,210.8,24
FP5,26,207.6,26
FP5,42,184.0,42
FP5,44,184.9,44
FP5,46,178.9,46
FP5,48,185.3,48
