Vial,Particle_type,Species,Replicate,Trial,O2_uptake rate(umol L-1 h-1),after minus MQ slope,Daily_O2,POC_mass(ug),POC_concentration(ug L-1),POC_concentration(umol L-1),k(d-1),Bacterial count
GHA1-1,Aggregate,G. huxleyi ,1,1,-0.627223618,0.634257618,15.22218283,41.448,2072.4,172.5562032,0.088215796,
GHA1-2,Aggregate,G. huxleyi ,1,2,-0.594306921,0.601340921,14.43218211,10.9904,549.52,45.755204,0.315421654,
GHA1-3,Aggregate,G. huxleyi ,1,3,-0.844452912,0.851486912,20.43568589,6.735,336.75,28.03913405,0.728827283,
GHA1-4,Aggregate,G. huxleyi ,1,4,-0.711324508,0.718358508,17.2406042,17.7174,885.87,73.76103247,0.233735939,
GHA1-5,Aggregate,G. huxleyi ,1,5,-0.746768343,0.753802343,18.09125624,15.3408,767.04,63.86677769,0.283265524,
GHA2-1,Aggregate,G. huxleyi ,2,1,-0.538038119,0.651699119,15.64077885,8.8402,442.01,36.80349709,0.424980779,
GHA2-2,Aggregate,G. huxleyi ,2,2,-0.689632353,0.803293353,19.27904047,35.2358,1761.79,146.6935887,0.131423879,
GHA2-3,Aggregate,G. huxleyi ,2,3,-0.354462104,0.468123104,11.2349545,39.5036,1975.18,164.4612823,0.068313674,
GHA2-4,Aggregate,G. huxleyi ,2,4,-0.370837104,0.484498104,11.6279545,9.882,494.1,41.14071607,0.282638603,
GHA2-5,Aggregate,G. huxleyi ,2,5,-0.358999434,0.472660434,11.34385043,0,0,0,0,
GHA3-1,Aggregate,G. huxleyi ,3,1,-0.953992722,1.034572722,24.82974532,31.614,1580.7,131.6153206,0.188653914,168
GHA3-2,Aggregate,G. huxleyi ,3,2,-1.255905538,1.336485538,32.07565291,35.292,1764.6,146.9275604,0.2183093,163
GHA3-3,Aggregate,G. huxleyi ,3,3,-0.938351187,1.018931187,24.45434848,4.616,230.8,19.2173189,1.272516141,169
GHA3-4,Aggregate,G. huxleyi ,3,4,-1.318331646,1.398911646,33.57387949,25.3702,1268.51,105.621149,0.317870803,170
GHA3-5,Aggregate,G. huxleyi ,3,5,-1.002866377,1.083446377,26.00271304,2.6188,130.94,10.90258118,2.385005221,131
GHFP1-1,Faecal pellet,G. huxleyi ,1,1,-0.455425433,0.325445433,7.810690398,9.276,463.8,38.61781848,0.202256127,
GHFP1-2,Faecal pellet,G. huxleyi ,1,2,-0.577291616,0.447311616,10.73547878,26.3074,1315.37,109.5228976,0.098020405,
GHFP1-3,Faecal pellet,G. huxleyi ,1,3,-1.231847544,1.101867544,26.44482106,0,0,0,0,
