Number,Experiment,Particle_type,Species,Trial,O2_uptake_rate (µmol L-1 h-1),Normalized,oxygen_slope_per_day,Carbon(µg),Carbon(µmol),Carbon_turnover_rate,Average
154,GHA1,Aggregate,G.huxleyi ,1,-0.627223618,0.620189579,14.8845499,41.448,3.4511,0.0863,1.809930769
165,GHA1,Aggregate,G.huxleyi ,2,-0.594306921,0.587272882,14.09454917,10.9904,0.9151,0.308,
164,GHA1,Aggregate,G.huxleyi ,3,-0.844452912,0.837418873,20.09805295,6.735,0.5608,0.7168,
158,GHA1,Aggregate,G.huxleyi ,4,-0.711324508,0.704290469,16.90297126,17.7174,1.4752,0.2292,
147,GHA1,Aggregate,G.huxleyi ,5,-0.746768343,0.739734304,17.7536233,15.3408,1.2773,0.278,
125,GHA2,Aggregate,G.huxleyi ,1,-0.538038119,0.424377485,10.18505964,8.8402,0.7361,0.2767,
123,GHA2,Aggregate,G.huxleyi ,2,-0.689632353,0.575971719,13.82332126,35.2358,2.9339,0.0942,
129,GHA2,Aggregate,G.huxleyi ,3,-0.354462104,0.240801471,5.779235304,39.5036,3.2892,0.0351,
153,GHA2,Aggregate,G.huxleyi ,4,-0.370837104,0.257176471,6.172235304,9.882,0.8228,0.15,0.39120772
159,GHA2,Aggregate,G.huxleyi ,5,-0.358999434,0.245338801,5.888131224,0,1.81,0.0651,
124,GHA3,Aggregate,G.huxleyi ,1,-0.953992722,0.873412262,20.96189429,31.614,2.6323,0.1593,
126,GHA3,Aggregate,G.huxleyi ,2,-1.255905538,1.711330971,41.0719433,35.292,2.9386,0.2795,
136,GHA3,Aggregate,G.huxleyi ,3,-0.938351187,1.515642803,36.37542727,4.616,0.3843,1.8931,
148,GHA3,Aggregate,G.huxleyi ,4,-1.318331646,2.55017919,61.20430056,25.3702,2.1124,0.5795,
163,GHA3,Aggregate,G.huxleyi ,5,-1.002866377,2.171461604,52.1150785,2.6188,0.2181,4.779,
161,GHFP2,Faecal pellet,G.huxleyi ,1,-0.455425433,0.585402379,14.0496571,9.276,0.7724,0.3638,1.085771429
155,GHFP2,Faecal pellet,G.huxleyi ,2,-0.577291616,0.707268562,16.97444549,26.3074,2.1905,0.155,
160,GHFP2,Faecal pellet,G.huxleyi ,3,-1.231847544,1.36182449,32.68378776,0,1.086,0.6019,
170,GHFP2,Faecal pellet,G.huxleyi ,4,-1.168595227,1.298572173,31.16573215,0,1.086,0.574,
145,GHFP2,Faecal pellet,G.huxleyi ,5,-1.086500579,1.216477525,29.1954606,4.8756,0.406,1.4382,
